,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
DLJ Merchant Banking Partners,aprioricapital.com,Private,,1985,,,"New York City, New York, United States",New York,New York,XXLarge ($1B+),['Private equity'],['Financial services'],,,"['(former)', 'Head of DLJMB', 'Donaldson, Lufkin & Jenrette', 'Steven C. Rattner', 'Nicole Arnaboldi, Managing Director']",
Mervyn%27s,archiveofmervyns.com,Private,,1949,,True,"Hayward, California, US",California,Hayward,,['Retail'],"['Clothing, footwear, jewelry, bedding, bath, furniture, beauty products, electronics, toys, and housewares.']",,,"['John Goodman (, 2008)', 'Sun Capital Partners', '(formerly Dayton-Hudson Corporation)', 'Target Corporation', 'Mervin G. Morris']",
Value City,,Subsidiary,['VCHI Acquisition Company'],1917,,True,"Columbus, Ohio, US",Ohio,Columbus,,['Retail'],"['Clothing', 'jewelry', ' and home goods, furniture']",,,['Ephraim Schottenstein'],
Knight-Swift Transportation,knighttrans.com,Public,,1990,KNX,,"Phoenix, Arizona, US",Arizona,Phoenix,XXLarge ($1B+),['Motor transportation-trucking'],['Truckload shipping'],"['Swift Transportation', 'Knight Transportation', 'Midwest Motor Express', 'AAA Cooper']",,"['David A. Jackson', 'Adam W. Miller', 'president', 'Gary J. Knight', 'executive vice chairman', 'Kevin P. Knight', 'executive chairman']","XXLarge (10,000+ Employees)"
Carolina Academic Press,,,,1974,,,,,,,,,,,['Keith Sipe'],
Independence Blue Cross,ibx.com,Private not-for-profit,,1938,,,"G Fred DiBona Jr Building, Philadelphia, Pennsylvania",Pennsylvania,Fred,,['Health Insurance'],,,,"['Charles Pizzi', 'Gregory E. Deavens']",
Virtus Investment Partners,virtus.com,Public company,,1995,VRTS,,"Hartford, Connecticut, US",Connecticut,Hartford,,['Asset Management'],"['retail separate accounts', 'Virtus', 'closed-end funds', '; institutional investment management services', ';', 'mutual funds', 'exchange-traded funds']",,,"['Timothy A. Holt,   of the Board', 'George R. Aylward,   and']",Medium-Large (500-999 Employees)
Transurban,transurban.com,Public,,1996,TCL,,"Tower Five, Collins Square, Collins Street, Docklands, Melbourne",,Tower,,"['Infrastructure and', 'development']",['See list below'],,,['Scott Charlton'],Medium-Large (500-999 Employees)
NEXTEL Communications,nextel.com,Public,,1987,NXTL,True,"Reston, Virginia, United States",Virginia,Reston,XXLarge ($1B+),['Wireless communications'],,,"['Sprint Nextel Corporation', 'FleetCall', 'NII Holdings', 'Nextel']","['Peter Reinheimer', 'Brian McAuley', 'Chris Rogers', ""Morgan E. O'Brien"", ""Morgan O'Brien""]","XXLarge (10,000+ Employees)"
Nu Skin Enterprises,nuskin.com,Public company,,1984,NUS,,"Provo, Utah, US",Utah,Provo,XXLarge ($1B+),['Multilevel marketing'],"['Personal care', 'Nu Skin', 'dietary supplements', 'Pharmanex']",,,"['Ryan Napierski', 'Steven J. Lund', 'Sandie Tillotson', 'Mark Lawrence', 'Blake Roney', 'Nedra Roney', 'Steven J. Lund']","Large (1,000-4,999 Employees)"
Discovery Communications,corporate.discovery.com,,,1985,DISCA,True,"Park Avenue South, New York City, New York, US",New York,Park,XXLarge ($1B+),['Mass media'],['Factual television'],"['Discovery Education', 'All3Media', '(50% with', 'Source Interlink', 'Liberty Global', 'Discovery New Zealand', 'Discovery Golf', 'Discovery Global Enterprises', 'Eurosport', 'Motor Trend Group', '(JV with', 'Discovery Networks International', 'Discovery Studios', 'Play Sports Group', 'Discovery Networks U.S.']","['Cable Educational Network Inc.', 'Warner Bros. Discovery', 'Discovery Communications, LLC']","['Robert Miron', 'David Zaslav', 'John Hendricks']","XLarge (5000-10,000 Employees)"
AT%26T Alascom,attalascom.com,Subsidiary of AT&T Inc.,"['RCA', 'PacifiCorp', 'AT&T Corp.', 'AT&T Inc.']",1900,,True,"Anchorage, Alaska",Alaska,Anchorage,,['Telecommunications'],['Telecommunications'],,['AT&T Alaska'],"['Mike Felix', '   &', 'Christopher James Brown', '']",
Pentair,pentair.com,Public,,1966,PNR,,"London, UK, Incorporated in, Ireland",,London,XXLarge ($1B+),"['Water & Fluid Solutions', 'Valves & Controls', 'Water Treatment Solutions', 'Technical Solutions']",,,,"['Bob Fishman', 'John L. Stauch', '']","XXLarge (10,000+ Employees)"
CareFusion,carefusion.com,Subsidiary,,2009,,True,"San Diego, CA, US",California,San Diego,,['Medical Technology'],"['Medical devices', 'Clinical services']",,['Becton Dickinson'],,
Salt River Project,srpnet.com,Association: Utility cooperative District: Government-owned corporation,,1903,,,"Tempe, Arizona, United States",Arizona,Tempe,XXLarge ($1B+),['Public utility'],"['Electricity', 'Water']",,,,"XLarge (5000-10,000 Employees)"
North Central Airlines,,,,1944,,,"Clintonville, Wisconsin, Madison, Wisconsin, Minneapolis, Minnesota",Wisconsin,Clintonville,,,,,,"['Hal Carr', 'Francis Higgins', '']",
Jostens,jostens.com,Private,,1897,,,"Minneapolis, Minnesota, United States",Minnesota,Minneapolis,,,"[' Graduation Regalia', 'Class rings', 'Yearbooks', ' Graduation Announcements, Letter Jackets, Championship Rings, School Photography']",,,"['Platinum Equity', 'Otto Josten']","Large (1,000-4,999 Employees)"
The Reynolds and Reynolds Company,,Private,,1866,,,"Reynolds Way, Dayton, Ohio, US",Ohio,Reynolds,,,"['Automotive retailer forms, software and services']",,['Reynolds and Gardner'],"['James Gardner', 'Tommy Barras', 'Lucius Reynolds']","Large (1,000-4,999 Employees)"
Aspen Education Group,aspeneducation.com,,,,,,"Cerritos, California, US",California,Cerritos,,,,,,,
"Murfreesboro, Tennessee",,,,,,,,,,,,,,,,
Express One International,flyexpressone.com,,,1983,,,"Orlando, Florida, United States",Florida,Orlando,,,,,,,
Valencell,valencell.com,Incorporated,,2006,,,"Raleigh, United States",,Raleigh,,['Wearable Technology Sensors'],,,,"['Dr. Mike Aumer, Dr. Steven LeBoeuf, Dr. Jesse Tucker']",Small (10-49 Employees)
Tripadvisor,,,,2000,,,"Needham, Massachusetts, US",Massachusetts,Needham,XXLarge ($1B+),"['Travel', 'services']","['Vacation rental', 'Guide books', 'Hotel and flight booking', 'Table reservation']","['Cruise Critic', 'Housetrip', 'Jetsetter', 'Bokun.io', 'Viator', 'FlipKey', 'Niumba', 'SeatGuru', 'TheFork', 'Holiday Lettings']",,"[')', 'Liberty Tripadvisor Holdings', 'Liberty Media']",
Tillinghast Licht,tllaw.com,,,,,,"Providence, Rhode Island",Rhode Island,Providence,,,,,,['Charles Tillinghast'],
Genuine Parts Company,genpt.com,Public,,1925,GPC,,"Atlanta, Georgia, US",Georgia,Atlanta,,,,['National Automotive Parts Association'],,"['Paul D. Donohue', '', 'Carlyle and', 'Thomas C. Gallagher', 'Malcolm Fraser']","XXLarge (10,000+ Employees)"
Paycom,paycom.com,Public,,1998,PAYC,,"Oklahoma City, OK, US",Oklahoma,Oklahoma City,XXLarge ($1B+),"['SaaS', 'Software', 'HCM']","['Cloud-Based Payroll Services', 'HRM', 'SaaS']",,['Paycom'],"['Craig Boelte', 'Chad Richison', '(, Founder)']","XLarge (5000-10,000 Employees)"
Coney I-Lander,coneyi-lander.com,Private,,1926,,,"Tulsa, Oklahoma, USA",Oklahoma,Tulsa,,['Restaurants'],['Fast food'],,,['Christ Economou'],
Lowy Frame and Restoring Company,lowy1907.com,,,1907,,,,,,,['Framing and art restoration'],,,,"['Larry Shar', 'Julius Lowy', 'Brad Shar']",
McDermott International,,Private,,1923,,,"Houston, Texas, US",Texas,Houston,,"['Energy', 'Engineering', 'Construction']",,,,['Ralph Thomas McDermott'],"XXLarge (10,000+ Employees)"
Trans-Florida Airlines,,,,1966,,,"Daytona Beach, Florida, USA",Florida,Daytona Beach,,,,,,['Robert Willman'],
"Discovery, Inc.",corporate.discovery.com,,,1985,DISCA,True,"Park Avenue South, New York City, New York, US",New York,Park,XXLarge ($1B+),['Mass media'],['Factual television'],"['Discovery Education', 'All3Media', '(50% with', 'Source Interlink', 'Liberty Global', 'Discovery New Zealand', 'Discovery Golf', 'Discovery Global Enterprises', 'Eurosport', 'Motor Trend Group', '(JV with', 'Discovery Networks International', 'Discovery Studios', 'Play Sports Group', 'Discovery Networks U.S.']","['Cable Educational Network Inc.', 'Warner Bros. Discovery', 'Discovery Communications, LLC']","['Robert Miron', 'David Zaslav', 'John Hendricks']","XLarge (5000-10,000 Employees)"
"Cary, North Carolina",carync.gov,,,1750,,,,,,,,,,,,
EVGA Corporation,evga.com,Private,,1999,,,"Brea, Santa Clara, California, United States",California,Brea,,"['Consumer electronics', 'Computer hardware']","['Motherboards', 'Keyboards', 'Power supplies', 'Cooling', 'Cases', 'Audio cards', 'Mice']","['EVGA Technology Inc.', 'EVGA GmbH']",,"['Andrew Han', 'Keith Rochford']",Medium (200-499 Employees)
Switch (company),switch.com,Private company,,2000,SWCH,,"Las Vegas, Nevada, US",Nevada,Las Vegas,XLarge ($200MM-$1B),['Technology'],,,,"['Rob Roy', '(, founder, chairman)']",Medium-Large (500-999 Employees)
AT%26T Mobility,att.com,Subsidiary,['AT&T Communications'],2000,,,"Brookhaven, Georgia, United States",Georgia,Brookhaven,,['Telecommunications'],"['Wireless broadband', 'Mobile telephony']",['Cricket Wireless'],['Cingular Wireless LLC'],['David Christopher ( )'],"XXLarge (10,000+ Employees)"
Majestic Athletic,majesticathletic.com,Subsidiary,['Fanatics'],1976,,,"Easton, Pennsylvania, US",Pennsylvania,Easton,,['Textile'],"['pants', 'hoodies', 'hats', 'T-shirts']",,,['Faust Capobianco III'],
Extreme Championship Wrestling,wwe.com,Private,,1992,,True,"Philadelphia, Pennsylvania, US, Corporate offices in, Scarsdale, New York, US",Pennsylvania,Philadelphia,,['Professional wrestling'],"['Television, Merchandise']",,"['Eastern Championship Wrestling Inc.', 'ECW (WWE brand)', 'Extreme Championship Wrestling Inc.']","['Paul Heyman', '(Extreme;', 'Tod Gordon', '(Eastern;']",
Reverb Records,,,,1999,,,,,,,['Various'],,,,['Michael Fitzgerald'],
Trans World Entertainment,kaspien.com,Public,,1972,KSPN,,"Spokane, Washington, US",Washington,Spokane,,['Retail'],,,['Trans World Entertainment'],"['Robert J. Higgins', 'Brock Kowalchuk (interim']",
Krinos Foods,krinos.com,Private,,1958,,,"New York, New York",New York,New York,,,"['Greek', 'Greek cuisine', 'food']",,,,
Allstate,allstate.com,Public company,['Sears'],1931,ALL,,"Northbrook, Illinois, US",Illinois,Northbrook,XXLarge ($1B+),['Insurance'],"['Insurance', 'Off-road vehicle', 'Renters', 'Business', ' &', 'Auto', 'Life', 'Landlord', 'Motorcycle', 'products', 'Investment', 'Banking', 'services', 'Boat', 'Home', 'condo', 'Retirement']","['Encompass Insurance Company', 'Allstate Northern Ireland', 'National General Insurance', 'Allstate Identity Protection (formerly InfoArmor, Inc.)', 'Allstate India', 'SquareTrade', 'Esurance']",,"['Thomas J. Wilson', ' and']","XXLarge (10,000+ Employees)"
NewPage Corporation,newpagecorp.com,Information,,2005,,True,"Miamisburg, Ohio",Ohio,Miamisburg,,['Papermaking'],['Paper'],,,"['CAO', 'George F. Martin', 'L. Mark Lukacs', 'James C. Tyrone', ' Commercial Operations and Business Development', 'Jay A. Epstein', ' General Counsel and Secretary', 'Mark A. Angelson', 'Daniel A. Clark', 'David L. Santez', ' Operations', '&']",
Idacorp,idacorpinc.com,Public,,1998,IDA,,"Boise, Idaho, United States",Idaho,Boise,XXLarge ($1B+),"['Electric Power', 'Coal-fired', 'Natural Gas', 'Hydroelectricity']",,,,"['Lisa Grow,   and Chief   Officer, IDACORP, Inc. and Idaho Power']","Large (1,000-4,999 Employees)"
American Fidelity Assurance,americanfidelity.com,Private,,1960,,,"Oklahoma City, Oklahoma, USA",Oklahoma,Oklahoma City,,['Supplemental benefits'],,,,"['Bill Cameron,   and', 'C.W. and C.B. Cameron']","Large (1,000-4,999 Employees)"
Sun Microsystems,sun.com,Public,,1982,SUNW,True,"Santa Clara, California, US",California,Santa Clara,,['Information technology'],"['Services', 'Workstations', 'Servers', 'Storage']",,,"['Vinod Khosla', 'Scott McNealy', 'Oracle Corporation', 'Andy Bechtolsheim', 'Bill Joy']","XXLarge (10,000+ Employees)"
Dakine,,,['Marquee Brands'],,,,"Hood River, Oregon, United States",Oregon,Hood River,,,"['Sportswear', 'Sports equipment']",,,['Rob Kaplan'],
Compuware,bmc.com,,,1973,,True,"Detroit, Michigan, United States",Michigan,Detroit,,['Information technology'],"['Enterprise software', 'IT services']",,,"['Thomas Thewes', 'Peter Karmanos, Jr.', 'Allen B. Cutting']",
Dillanos Coffee Roasters,dillanos.com,Private,,1992,,,"Sumner, Washington",Washington,Sumner,,['Coffee'],,,,"['David Morris, Chris Heyer', 'David Morris, Howard Heyer, Chris Heyer']",Medium-Small (50-199 Employees)
Textron Aviation,txtav.com,,,2014,,,"Wichita, Kansas, US",Kansas,Wichita,,['Aerospace'],"['Hawker', 'Cessna', 'Brands:', 'military aircraft', 'General aviation', 'Beechcraft']",,,"[': Ronald Draper', 'Textron']",
Harlan (company),,Private,,1931,,,"Indianapolis, Indiana, United States",Indiana,Indianapolis,,['Biotechnology'],"['Discovery services, Toxicology services, Genetic Toxicology services, Ecotoxicology services, Drug Metabolism and Pharmacokinetics, Regulatory Affairs, Consulting, Program Management, Analytical Chemistry, Chemical and Agrochemical Registration, Environmental Fate and Modeling, In Vitro Alternative Testing', 'Research Models, Teklad Lab Animal Diets, Bedding and Enrichment Products, Surgical Services, Genetic Testing Services, Research Model Support Services, Biological Products and Antibody Production Services, Flexible Film Isolators, Transportation Services']",,,,
GlobalTap,,,,,,,,,,,['Water Purification'],,,,,
Peterbilt,peterbilt.com,Division,['PACCAR'],1939,,,"Denton, Texas, US",Texas,Denton,,['Manufacturing'],['See listing'],,,['T.A. Peterman'],
Leap Wireless,jumpmobile.com,Private,['Leap Wireless'],2005,,True,"San Diego, California, United States",California,San Diego,XLarge ($200MM-$1B),['Telecommunications'],,['Cricket Wireless'],,,
Lexington Institute,lexingtoninstitute.org,,,,,,,,,,,,,,"['Merrick Carey', 'Sarah White', 'John Cicchitti', 'Daniel Goure', 'Loren Thompson']",
Underland Press,,,,2008,,,,,,,,,,,['Victoria Blake'],
Oregon Iron Works,oregoniron.com,Private,,1944,,,"Clackamas, Oregon, United States",Oregon,Clackamas,Medium-Large ($50MM-$100MM),"['Aerospace', 'renewable energy', 'defense', 'transportation', 'structural engineering']",['Various'],"['United Streetcar', 'LLC']",,,Medium (200-499 Employees)
Benny%27s,hellobennys.com,Store,,1924,,True,"Esmond, Smithfield, Rhode Island",Rhode Island,Esmond,,['Discount retail'],,,,"['Benjamin Bromberg', 'Judy Rosenstein', 'Arnold Bromberg', 'Howard Bromberg']",Medium-Large (500-999 Employees)
Four Peaks Brewery,fourpeaks.com,,,,,,,,,,,,,,,
"Audacy, Inc.",audacyinc.com,Public,,1968,AUD,,"Philadelphia, Pennsylvania, United States",Pennsylvania,Philadelphia,XXLarge ($1B+),['Broadcasting'],"['Radio broadcasting', 'Podcasting']","['Cadence13', 'Eventful', 'Pineapple Street Media']",['Entercom Communications Corporation'],"['JD Crowley (CDO)', 'Andrew Sutor ( , GC)', 'Pat Paxton (Chief Programming Officer)', 'Bob Philips ()', '(  of Sports)', 'Susan Larkin ()', 'David Field (', 'Richard Schmaeling ()', 'Mike Dee']",
Tastee-Freez,tastee-freez.com,Private,['The Galardi Group'],1950,,,"Newport Beach, California, US",California,Newport Beach,,['Restaurants'],"['french fries', 'hamburgers', '(including', 'Fast food', 'milkshakes', ' and']",,,"['Harry Axene', 'Leo A. Morenz']",
MOM Brands,postconsumerbrands.com,Subsidiary,['Post Holdings'],1919,,True,"Lakeville, Minnesota, USA",Minnesota,Lakeville,XLarge ($200MM-$1B),['Cereal'],['Hot and cold cereals'],,,"['Chris Neugent', 'CIO', 'John A. Gappa', 'Gene Pagel', 'John S. Campbell']","Large (1,000-4,999 Employees)"
Harris Teeter,harristeeter.com,Subsidiary,"['The Ruddick Corporation', 'Kroger']",1939,,,"Matthews, North Carolina",North Carolina,Matthews,XXLarge ($1B+),['Supermarket'],"['produce', 'deli', 'pharmacy', 'seafood', 'grocery', 'snacks', 'flowers', 'dairy', 'frozen foods', 'Bakery', 'meat']",,['Harris Teeter Neighborhood Food & Pharmacy'],"['Willis L. Teeter', 'Tammy DeBoer', 'William Thomas Harris']","XXLarge (10,000+ Employees)"
Hersha Hospitality Trust,hersha.com,Public company,,1984,HT,,"Harrisburg, Pennsylvania",Pennsylvania,Harrisburg,XXLarge ($1B+),['Real estate investment trust'],['Hotels'],,,"['Ashish R. Parikh', 'Neil H. Shah', 'Jay H. Shah', 'Hasu P. Shah']",Small (10-49 Employees)
Logan%27s Roadhouse,logansroadhouse.com,Subsidiary,"['CBRL Group', 'Bruckmann', 'Rosser', 'Sherrill & Co.', 'Canyon Capital Advisors', 'Black Canyon Capital LLC', 'Kelso & Company', 'CraftWorks Restaurants & Breweries', 'SPB Hospitality']",1991,,,"Houston, Texas, US",Texas,Houston,XLarge ($200MM-$1B),"['Food service', 'Casual dining']","[' Seafood, Sandwiches, Desserts, Family Meals, Alcoholic Beverages, Kids Menu, Appetizers, Soups and Salads', 'chicken', 'ribs', ' Burgers', 'Steaks']",,,"['Michelle Zavolta (Chief human resources officer)', 'Dave Wachtel', 'Len Popering (Chief marketing officer)', 'Charles F. McWhorter', 'Stephen Anderson (Senior  , Marketing)', 'Hazem Ouf (']","Large (1,000-4,999 Employees)"
Vernier Software %26 Technology,vernier.com,,,1981,,,"Beaverton, Oregon, United States",Oregon,Beaverton,,"['Education Technology', 'Educational software']",,,,"['John Wheeler', 'Christine Vernier', 'David Vernier']",Medium-Small (50-199 Employees)
USF Glen Moore,myyellow.com,Public,,1929,YELL,,"Overland Park, Kansas, USA",Kansas,Overland Park,XXLarge ($1B+),['Transportation'],,"['YRC Freight', 'Reddaway', 'New Penn', 'Holland', 'HNRY Logistics']","['YRC Worldwide, Inc.', 'Yellow Roadway Corporation']","['Darren Hawkins', 'G.C. ""Cleve"" Harrell', 'A.J. Harrell', 'U.S. Treasury']","XXLarge (10,000+ Employees)"
Delaware Intercorp,,Private,,1996,,,"Newark, Delaware",Delaware,Newark,,['Incorporation'],,,,[],
W.W. Clyde Company,wwclyde.net,,['Clyde Companies'],1926,,,"Orem, Utah, United States",Utah,Orem,,['Construction'],,,,['Wilford W. Clyde'],Medium-Large (500-999 Employees)
Binford %26 Mort,,,,1930,,,,,,,,,,,"['Peter Binford', 'Maurice M. Binford']",
International Paper,internationalpaper.com,Office complex (four buildings),,1898,IP,,"Memphis, Tennessee, United States",Tennessee,Memphis,XXLarge ($1B+),['Pulp and paper'],,"['Hammermill Paper Company', ' Olmuksan International Paper, CMCP, Cartón y Papel Reciclado S.A., Cartonajes Union S.L., ZAO, Weldwood of Canada, Castell, L.P., Sustainable Forests, Bolsaflex', 'Temple-Inland']",,"['Mark Sutton', 'Highwood Properties Inc.']","XXLarge (10,000+ Employees)"
Strayer Voigt Inc,sviguns.com,Private,,1994,,,"Gordon, TX, United States",Texas,Gordon,,['Firearms'],['Pistols'],,,"['Brandon Strayer', 'Sandy Strayer']",
Grand Union (supermarket),grandunion.com,Private,,1872,,True,"Scranton, Pennsylvania original, Jay Street, Brooklyn, New York, Elmwood Park, New Jersey, Wayne, New Jersey, Clifton Park, New York, Depew, New York, from time of acquisition by Tops",Pennsylvania,Scranton,,"['Retail', 'Grocery']",,,,['Cyrus D. Jones'],
Columbia Forest Products,columbiaforestproducts.com,Private employee-owned,,1957,,,"Greensboro, North Carolina, United States",North Carolina,Greensboro,,['Forest Products'],,,,['Greg Pray'],"Large (1,000-4,999 Employees)"
